Title,Content,Date,Rating
Tout d'abord...,"Tout d'abord, n'oublions pas que les Centres Leclerc sont des magasins appartenant aux propriétaires des lieux et non à la centrale.Ils bénéficient que de la franchise.  D'où , hé oui, .. différentes prestations (accueils , qualités etc..) différentes d'un lieu à l'autre. Les démonstrateurs sont indépendants du magasin.D'où le fait, on tombe sur un bon où une  bonne et que tout se passe bien pour sa clientèle. Il reste en soi le responsable.. Personnellement j'ai 2 magasins , l'un dans le Loir & Cher et l'autre en Bretagne, aucuns problèmes. Bon point pour leur offre de 50 masques pour 4.50€. (Hum ...que l'on ne me dise pas qu'il n'y a pas des sociétés qui ne sont pas gavées avec cette pandémie)..",2020-10-01,medium
Foire au vin,"Je suis allé à la foire aux vins de Leclerc Outreau aujourd'hui le mardi 29 septembre jour de l'ouverture.Très déçu par la personne féminine qui était présente pour conseiller le vin.Elle était simplement inexistante ainsi que le sommelier.  Le nombre de bouteilles indiqués ne correspondait pas dans les rayons, quand j'ai demandé un conseil pour avoir un carton de vin on m'a simplement répondu qu'ils avaient été remis en réserve donc à quoi cela sert d'indiquer une quantité.Aucune remise fidélité sur la carte très décevant.",2020-09-29,medium
Nouveau sac en toile de jute,Est ce qu’un responsable de Leclerc a eu l’idée d’essayer leur nouveau sac en toile de jute ? Les anses sont beaucoup trop longues ! Le sac traîne au sol ! Et pourtant je fais  1 m 70 !,2020-09-27,medium
Leclerc section téléphonie,Leclerc section téléphonie. Pas satisfait ? Pas remboursé. Point final,2020-09-26,medium
Je suis très en colère contre Leclerc…,"Je suis très en colère contre Leclerc ""ECOLO"" qui m'a vendu une grand sac -échangeable à vie- que l'on m'a échangé contre un beaucoup plus petit, et maintenant on ne veut plus me l'échanger, on veut me VENDRE un sac jute -échangeable à vie-, mais apparemment à condition que ma vie soit plus courte que la qualité des sacs!!!! Toujours faire payer le client, mais ne jamais tenir ses engagements, c'est ça Leclerc Perpignan Sud.Sur la carte de fidélité on lit : A l'écoute, Responsable, mieux vivre........pour qui?",2020-09-25,medium
Télé commandée par le Net et formulaires de contacts,"Télé commandée par le Net. Leclerc Ivry. Délai non respecté et reporté plusieurs fois.....Pas Sérieux du tout.Drives Aulnay ou Blanc-Mesnil, ne répondent JAMAIS au formulaires de contacts.Ils n'ont pas compris que les prix bas (sur moins bonne qualité souvent) ne sont pas suffisants pour survivre. Je suis passé chez Cora, bien plus sérieux.",2020-09-20,medium
Article débité 2 fois sans geste commercial,"J'ai commandé un article sur internet à 50e, je reçois l'article pas de problème sauf qu'en regardant mon compte je vois que j'ai été débité 2 fois donc je suis en déficite. J'ai appelé le service client, on me dit qu'on me rembourse que c'est bien une erreur (au bout de 18min au téléphone), je demande un geste commercial on me dit non que j'aurais juste un remboursement. C'est scandaleux qu'une enseigne telle que Leclerc ne puisse pas faire un geste commercial, déficite ou non, c'est un prélèvement que 50e ce n'est pas rien ! Moi qui suis une fidèle cliente je suis très déçue.",2020-09-18,medium
"Service client e-leclerc, un vrai cauchemard...","Bonjour,Suite à retour d'un produit défectueux voila 2 mois que je bataille avec le service client pour me faire rembourserA chaque appel son lots de nouvelles surprises et de promesses de remboursement mais jamais de retour sur mon compte en banque.je ne sais plus quoi faire... je vais probablement finir par déposer plainte en gendarmerie...",2020-09-18,medium
Méfiez vous des promos,Vraiment pas sérieux!!jai acheter deux poupées Princesse Disney qui était en promo dans le prospectus  à 4.95€ l’une cendrillon et la seconde Belle. Après avoir ouvert les poupées je me r’en compte que la poupée cendrillon est passer à 9.90€. Le lendemain j’arrive à l’accueil je demande un remboursement de 4.95€ on me répond que la poupée cendrillon viens d’un autre fournisseur c’est pour ça quelle est à ce prix . Sachant que dans le prospectus est montrer en image cendrillon à 4.95€. ?! Donc on me rembourse pas mon argent. Comment suis je censée connaître quel produit viens de quel fournisseur. La prochaine fois préciser quels sont vraiment les articles en promo. Car au prix ou j’ai payer j’aurais préféré sortir avec 3 poupées et non pas deux!,2020-09-18,medium
Quel dommage que l on ne puisse pas…,"Quel dommage que l on ne puisse pas mettre la note de 0. En effet c'est la deuxième fois que je commande sur le site E-Leclerc, la première fois il s 'agissait d'une télé, il m'aura fallu presque 3 semaines pour avoir ma commande, le site m'annonçait la livraison sur un jour précis et le jour dit la date de livraison était repoussée et ce à plusieurs reprises. A chacun de mes appels le service après vente me disait que la télé allait arrivée. Bien sur elle a fini par arriver. Bien que très déçu par le service je n'ai pas laissé d'avis sur le site.Mais là, la coupe est pleine, fin aout je commande une revue technique et aujourd'hui 16/09 alors que l'on m'a envoyé à droite et à gauche pour récupérer cet objet INTROUVABLE, Je ne peux même pas me faire rembourser au prétexte qu'ils doivent mener une enquête qui peut prendre deux à trois semaines. Bilan comme j ai besoin de l'article je vais l'acheter ailleurs et si il le retrouve j'en aurai un deuxième!!!En clair Leclerc c'est faire de la grande distribution, mais pas de la vente en ligne. Un conseil fuyez leur site!!!!",2020-09-16,medium
