Title,Content,Date,Rating
Confirme la commande à 17h35 pour une…,Confirme la commande à 17h35 pour une livraison entre 18h et 20h pour annuler la commande à 19h40 .... une honte scandaleux,2020-10-15,medium
"Bonjour,à 2 reprises courses…","Bonjour,à 2 reprises courses parfaites,mais la 3e le 12/10/2020,waouh,du vol qualifié,la demoiselle limite me jette les sacs,je dis doucement il y a des œufs,bon passons elle se calme,je l'aide normal,ce ne sont pas mes boys et il m'est même arrivé de leur donner une pièce pour leur machine à café,mais là niet.Donc arrivée maison je déballe et là surprise,j'ai 5 articles qui ne correspondent pas;bœuf 1.5 kg à 12e,là j'ai 849g à 8e et des ...fromage,que j'ai payé par carte 4.30,là 2.03 et pas le même poids,2 lessive Dash de 3 litres à 13 et...et là 2 Dash a 1l32,donc  arnaque,je téléphone,on me balade,3 interlocuteurs,j'ai une hot-line nationale d’après ses dire ,elle pose le téléphone,je les entends blablabla,elle me reprend et me dit qu'elle n'arrive pas à joindre le service drive,bien entendu après lui avoir expliqué mon soucis,elle me répond""mon pauvre monsieur vous savez""j'ai haussé le ton lui rappelant que je n'étais pas son pauvre monsieur,que j'étais client avant d’être son pauvre monsieur,et là j'ai senti que c'était perdu,il n'y a pas grand chose 6 ou 7 e,mais à l'avenir,contrôlez vos sacs en papier,car  il n'y a pas vos vrais  commandes,j'ai été débité pour des produits au prix et poids fort,mais la réalité, les quantités payées et le poids ne correspondent  plus,contrôlez,vous serez averti,le pire tout le monde peu se tromper;mais là,ces réponses dédaigneuses et personne de sérieux en face,des personnes médiocres,qui ne respectent pas votre argent et ne respectent pas les clients,je file chez AUC...,là au moins je vois mes courses,merci pour ce vol ,en poids et quantités non respectés,j'ai eu l'impression qu'ils ou qu'elles n'avaient pas de responsables au dessus et font comme ils ou elles l'entendent et leurs sembles , je leur ai envoyé un mails de mon mécontentement et bien rien pas de retour non plus,j'ai de grosses journées et pas trop de temps pour me balader dans leur magasin ,a l'avenir pas de confiance ils ne mérite pas la votre  et plus la mienne on s'en tape copieusement de votre avis ou  votre argent , contrôlez vos achats,cela vous évitera ma mésaventure,sans haine ni dégout,la façon est malsaine et on vous prend de haut""mon pauvre...""je gagne 3 fois votre salaire,Madame,next...",2020-10-15,medium
Changement du téléphone SAV sans information,Nous avons acheté un lave linge il y a un an et il vient de tomber en panne. Nous avons appelé en vain au numéro de SAV indiqué sur la facture. Nous sommes retourné au magasin de Montesson en demandant que notre demande soit pris en compte. Ils nous ont donné le même numéro de téléphone incorrect. Lors d'un deuxième passage au Magasin et une violente discussion l'employé a vérifié sur ses fiches et il s'est avéré que le numéro a été changé sans avertissement ni des clients ni des employés du magasin ni sur l'éventuel message sur l'ancien Numéro.Nous avons finalement réussi à avoir un rendez vous de dépannage. Espérons que cela sera efficace.,2020-10-15,medium
Promos qui ne fonctionnent pas sur le drive😡😠,"Je souhaitais profiter des promos sur les couches Pampers sur le catalogue valable jusqu'au 12/10 qui était -80% sur le 2ème panachage possible. Seulement la remise ne s'est pas effectuée, alors j'ai contacté le service client par mail qui m'a répondu que sur le drive ça ne fonctionnait pas. Il faudrait déjà le savoir!!!! Car ce n'est pas mentionné sur les prospectus que le panachage n'est pas possible depuis le drive. Je suis extrêmement déçue de vos services, il y a eu une période lorsque je faisais des drive il manquait toujours quelques choses et dès que je le voyais je demandais des remboursements que je n'ai jamais eu!!!😡 En gros pour moi c'est du vol.",2020-10-12,medium
Cliente très satisfaite,"Bonjour Depuis le confinement en Mars je ne vais plus en magasin, je fais mes courses en ligne ...la livraison est parfaite et soignée. A deux reprises j'ai du signaler un  ou deux articles soit manquants soit abîmés  en deux clics les problèmes ont été réglés (remboursement en moins de 48h)SAV au top !Le seul petit bémol est que le choix des articles est un peu limité...a quand tous les rayons en ligne 😉Merci carrefour  St Prient (Rhône)",2020-10-10,medium
Faudrait penser aux personnes âgées ...,"Ne pas tenir compte de ma photo qui date de plus de 40 ans . J'ai aujourd'hui plus de 81 ans  et de gros problèmes de mobilité.  Etant seule , je suis donc contrainte de me forcer pour faire mes courses à carrefour Market  de Melun , place Gaillardon . Or , depuis le Covid , c'est très pénible pour moi . Je dois attendre très longtemps aux caisses malgré mes problèmes de dos . Ce qui est curieux , c'est que les femmes enceintes , en pleine forme , n'ont pas besoin de fournir une carte ( ça se voit! ) et pourtant je ne pensais pas qu'être enceinte était une maladie . Mais , en ce qui me concerne les vigiles ne m'ont jamais permis de passer en priorité car je n'avais pas de carte ! Et là ,  mes cheveux blancs et mon état de fatigue apparente ne justifient aucune mesure de clémence . Je signale d'ailleurs qu'en cette période , les ""vieux"" courent plus de risques d'être contaminés . Par ailleurs , on diposait autrefois de petits chariots  adaptés à nos problèmes . Ils ont été supprimés et nous voilà contraints de traîner un caddy bas que j'ai énormément de mal à vider , ne pouvant me baisser , et ceci parfois au grand dam des autres clients qui attendent derrière moi . Les grands chariots sont très malaisés à diriger , notamment à la caisse .Trop grands, trop profonds ...Enfin si , comme cela arrive à nos âges , vous êtes pris d'un besoin pressant , inutile de compter sur une quelconque compassion . J'ai dû , à plusieurs reprises , quitter provisoirement le magasin et chercher une solution ailleurs ...A croire que les employés ne vont jamais aux toilettes !Mes remarques sont les suivantes :Ne pourrait-on pas essayer de simplifier un peu la vie des anciens ?Ne pourrait-on créer une caisse rapide pour les personnes âgées spécialement ? Surtout , lorsqu'elles ont un lourd chariot destiné à être livré , ce qui est très long à vider et à remettre en place . Mais on ne peut pas être livré , comme le fait Picard,  en commandant par Internet. La vieillesse guette tout le monde : il faudrait s'en souvenir.PS : Notez que je ne fais aucune critique sur l'approvisionnement ou les employés .Mon avis concerne le magasin de Melun- Gaillardon",2020-10-10,medium
FUYEZ CARREFOUR SENART 77 ET CARREFOUR MARKET MELUN CENTRE ET RUBELLE 77,"ÉTOILE 000 pourquoi vous ne proposez pas  est devenu peu honnête CARREFOUR CARRÉ SeNART et carrefour market mail gaillard on et rubéole 77.Passez votre chemin. Tout est mis en place pour ne pas vous accorder les réductions sur catalogue :1) Scan lib le prix réduction immédiat n’est pas appliqué une fois payé seulement que vous pourrez le savoir mais trop tard il faut aller faire la queue (tjs des clients qui attendent pas étonnant avec leur politique de vente malhonnête) la caissière me répond normal sinon il n’y aurait plus de personnel à l’accueil et rajoute à Auchan il y a encore plus de pb OR JE SUIS TRÈS SATISFAITE DE AUCHAN LEUR PRIX est transparent. Je ne suis pas la seule à dire. La dernière fois en faisant la queue à l’accueil et en rouspetant un autre monsieur a osé rajouter moi aussi je fais mes courses à Auchan et pas de pb il a dit qu’il ne revient plus. Comme moi d’ailleurs je ne mets plus les pieds chez Carrefour à moins d’avoir à faire ds le coin c’était le cas ici. Mais carrefour est spécialiste pour vous faire perdre du temps. Cet enseigne est rayée de de la famille, et entourage j’en ai fait là pub autour de moi. JE DIs BRAVO CARREFOUR 2) FAITES ATTENTION les promos credité sur la carte vous ne pouvez le savoir immédiatement sur le ticket et dc pas possibilité de le verifier il faut retourner le lendemain pour demander à la caisse et comme vous n’avez pas le temps vous vous faites aussi avoir et si le ticket n’est pas sorti pour vous donner le crédit accumulé lors de l’achat SOYEZ EN SUR QUEVOS PROMOS NE SONT PAS APPLIQUÉS je ne me suis jamais rendue compte c’est une personne qui me l’a dit 3) le pourcentage de réduction n’est pas appliqué ds sa totalité par exemple 30% sur carte de fidélité une fois j’ai constaté que c’est 20% dc il faut tt calculé avant chez eux ça devient casse tête et perte de temps cette méthode est pernicieuse car les gens n’y pensent pas 4) CARREFOUR EST DEVENU L ENSEIGNE DE MAGASIN LE PLUS MALHONNÊTE JAMAIS VU!!!! POUR MOI Et MON ENTOURAGE C EST RAYÉ DE NOS MAGASINS Et Je CONTINUE À FAIRE LA PUB4) même en achetant -10 produits il y a des problèmes il faut perdre encore son temps à l’accueil.Je NE CONSTATE Pas La VOLONTÉ DES DIRIGEANTS DE CHANGER LEUR MÉTHODEHeureusement que les réseaux sociaux existent pour informer les consommateurs qui font confiance à cet enseigne.AU MOINS Je FAIS DES ÉCONOMIES CELA M’empêche de dépenser même si j’ai des besoins et que je passe à côté de carrefour et annexes et que je n’ai pas le temps d’aller ailleurs j’ai dit à mon entourage que je préfère ne pas manger.5) faites attention également aux emplacements à l’intérieur de carrefour loué à d’autres prestataires si ces derniers fermés vous perdez tout comme stand coiffure dc ts les stands ds carrefour n’appartiennent pas à carrefour si du jour au lendemain dépôt bilan aucun garanti carrefour n’est pas responsable ÇA C EST la meilleure et il se garde de le dire au client.",2020-10-10,medium
Erreur durable sur prix affiché,"Bonsoir, Concernant Carrefour Brive 19190 : - Le 25/09, un article (en l'occurrence le cubi vin rouge GRAVES, code barres 3245415188395) est affiché en rayon 10.90 euros, il passe à la caisse à 14.80 euros. Une erreur, ca peut arriver, je le signale à la caisse centrale, on me recrédite ma CB de la différence. - Sauf que, le 02/10 même erreur, le 07/10 encore et toujours la même erreur !- Et là aujourd'hui le 09/10 : il n'y a carrément plus aucun prix d'affiché, et à la caisse centrale, au lieu de s'excuser, on me prend de haut, en m'expliquant que le responsable de rayon n'est pas là, et que c'est pour ça que le prix a tout bonnement été supprimé des affichages en rayon.Je peux prouver via ma carte fidélité mon assiduité tout au long de l'année, et j'avoue avoir été en même temps vexé et déçu par cette attitude pas très pro de l'accueil (qui est pourtant généralement très agréable il faut le souligner)",2020-10-09,medium
2 dernières commandes : un sac manquant,"Je commandais régulièrement chez Carrefour livré chez vous car j'habite en centre ville, et j'avais arrêté car lors de la dernière il manquait un sac entier (avec 7 produits). J'ai recommandé une fois, et cette fois ci encore il manque un sac entier ! Le livreur s'en est rendu compte, il m'a dit qu'il l'avait donné à un client précédent. Super.J'ai donc fait la réclamation sur le site, et passé un coup de fil (redirigé sur 3 numéros différents, je n'ai que ça à faire...) au service client, qui fait simplement ""remonter l'information"". Sans aucune proposition de geste commercial. Pour 8 produits manquants. Je ne recommande pas ce service de livraison, évidemment.",2020-10-07,medium
Site internet obsolète.,Site internet obsolète.Ne mémorise pas mon panier sur mon compte.Je ne peut pas enregistrer plusieurs listes de courses.Bref un site parfait pour les années 2000 mais dépassé de nos jours.,2020-10-06,medium
