open_time,open,high,low,close,volume,close_time,quote asset volume,num_trades,taker_base_vol,taker_quote_vol,ignore
2021-01-05 23:00:00,34183.43000000,34261.26000000,34183.43000000,34245.81000000,71.60028200,2021-01-05 23:00:59.999,2450598.22750712,1460,43.32434200,1482815.24174889,0
2021-01-05 23:01:00,34245.81000000,34284.91000000,34241.43000000,34267.52000000,60.82471000,2021-01-05 23:01:59.999,2084175.11194058,1182,34.99287000,1199072.68363530,0
2021-01-05 23:02:00,34269.24000000,34270.44000000,34211.45000000,34218.30000000,53.36883300,2021-01-05 23:02:59.999,1827216.15739279,966,20.99240100,718650.48325969,0
2021-01-05 23:03:00,34218.29000000,34235.10000000,34106.40000000,34160.25000000,109.32114500,2021-01-05 23:03:59.999,3738786.69728464,1461,26.16696400,894743.52866389,0
2021-01-05 23:04:00,34160.25000000,34167.48000000,34112.86000000,34125.88000000,79.41118500,2021-01-05 23:04:59.999,2710820.19464394,1359,26.28712800,897396.74091393,0
2021-01-05 23:05:00,34125.88000000,34125.89000000,33883.35000000,34065.94000000,240.92283700,2021-01-05 23:05:59.999,8196530.12314693,4656,82.29433200,2797950.13042256,0
2021-01-05 23:06:00,34065.94000000,34077.00000000,33962.30000000,33990.22000000,93.66186800,2021-01-05 23:06:59.999,3184330.52229881,1849,54.25302600,1844460.55105621,0
2021-01-05 23:07:00,33994.06000000,34061.80000000,33975.00000000,34026.34000000,104.66375000,2021-01-05 23:07:59.999,3561031.41013109,1577,80.60663500,2742630.99455426,0
2021-01-05 23:08:00,34026.33000000,34168.13000000,34025.08000000,34148.82000000,77.78343000,2021-01-05 23:08:59.999,2652135.05903250,1789,29.63618600,1010517.42470617,0
2021-01-05 23:09:00,34148.81000000,34150.88000000,34090.01000000,34133.46000000,59.46261100,2021-01-05 23:09:59.999,2028392.83676831,1013,23.00674900,784911.21555234,0
2021-01-05 23:10:00,34133.45000000,34138.54000000,34080.59000000,34097.83000000,55.51187100,2021-01-05 23:10:59.999,1893734.56320735,1121,24.00825800,819121.57537751,0
2021-01-05 23:11:00,34097.84000000,34112.73000000,34060.30000000,34069.32000000,29.01563100,2021-01-05 23:11:59.999,989122.58567202,913,14.42333100,491634.79141309,0
2021-01-05 23:12:00,34067.10000000,34129.65000000,34052.63000000,34107.04000000,40.98048300,2021-01-05 23:12:59.999,1396739.14996675,976,26.84663400,914930.88088301,0
2021-01-05 23:13:00,34106.10000000,34176.00000000,34055.06000000,34055.06000000,53.02939600,2021-01-05 23:13:59.999,1809567.95825470,1279,26.62972900,909054.81928257,0
2021-01-05 23:14:00,34071.42000000,34099.79000000,34031.58000000,34040.55000000,48.00936500,2021-01-05 23:14:59.999,1635479.77416285,1043,23.17829600,789642.14714506,0
2021-01-05 23:15:00,34040.54000000,34070.72000000,33993.00000000,33994.31000000,61.26103900,2021-01-05 23:15:59.999,2085497.12915173,1252,31.71163800,1079663.36471636,0
2021-01-05 23:16:00,33994.30000000,34022.90000000,33863.97000000,33931.27000000,103.61907900,2021-01-05 23:16:59.999,3516993.96300252,2539,43.21039400,1467128.56128532,0
2021-01-05 23:17:00,33931.26000000,33954.61000000,33685.00000000,33825.15000000,178.16659700,2021-01-05 23:17:59.999,6026051.50972048,3790,82.39451200,2787775.08303617,0
2021-01-05 23:18:00,33806.40000000,33824.42000000,33650.00000000,33734.69000000,186.52765900,2021-01-05 23:18:59.999,6290794.01797891,3432,96.24337300,3246261.29123123,0
2021-01-05 23:19:00,33740.09000000,33849.70000000,33722.34000000,33842.50000000,132.72011200,2021-01-05 23:19:59.999,4482640.28567511,2117,62.89266200,2124248.78872763,0
